site.plot.subplot,Site,GN_Rank,Plot,Subplot,Dice,Clone,stem,Ldraba.cvr,Texture,pH,Salts,OM,Nitrate,K,S,Zn,Fe,Mn,Cu,Mg,Na,CEC,P,Sand,Silt,Clay,canopy,grass,forb,woody,bare,litter
3.2.9,3,3,2,9,0.631578947,0,5,5,Loam,7.6,0.15,4.9,0.6,390,13,12.84,33.8,9.2,6.84,361,14,14.1,94,48,29,23,0,70,15,0,0,10
3.3.11,3,3,3,11,0.93877551,1,10,30,Clay Loam,7.8,0.56,6.2,0.8,417,87,13.97,28.5,8.1,7.33,534,26,20.9,134,39,32,29,22,50,5,0,0,15
3.3.12,3,3,3,12,0.979591837,1,24,40,Loam,7.3,0.22,7,0.8,350,19,20.46,46.7,9,6.46,616,48,14.7,95,47,28,25,12,50,0,0,0,10
3.3.13,3,3,3,13,0.941176471,1,8,30,Clay Loam,7.8,0.23,5.4,0.7,346,16,14.78,30.2,6,6.26,784,26,17.9,81,37,30,33,39,65,0,0,0,5
3.3.14,3,3,3,14,0.6,0,3,15,Clay Loam,7.5,0.81,4.7,0.7,422,21,11.68,23.8,5.3,7.01,482,19,17.4,110,36,33,31,52,15,10,0,0,60
3.3.15,3,3,3,15,0.844444444,0,5,15,Clay Loam,7.4,0.22,5.9,2,415,13,15.31,31,5.3,7.01,641,19,19.1,112,33,32,35,11,70,5,0,0,10
4.1.1,4,6,1,1,0.979591837,1,4,3,Sandy Loam,7.7,0.79,1.8,11.7,173,83,4.99,31.1,7.6,2.79,278,158,12.9,67,75,14,11,0,10,25,10,40,13
4.1.2,4,6,1,2,0.96,1,18,10,Loamy Sand,8.1,0.12,1,1,230,10,3.41,25.8,7.9,2.27,132,16,9,43,80,14,6,0,15,10,10,5,50
4.1.3,4,6,1,3,0.961538462,1,11,5,Sandy Loam,8,0.2,1.8,2.9,280,15,4.76,31.1,7.6,3.11,299,39,12.7,67,72,16,12,0,20,15,0,15,45
4.1.4,4,6,1,4,0.93877551,1,5,3,Sandy Loam,7.9,0.32,1,9.1,188,37,3.6,31.2,5.9,2.65,203,20,9.8,51,78,13,9,0,10,20,0,20,48
4.1.5,4,6,1,5,0.978723404,1,7,3,Sandy Loam,8,0.18,1.9,0.7,174,18,5.93,40.8,7.6,4.63,254,40,15.5,65,53,28,19,0,15,25,10,3,44
4.2.10,4,6,2,10,0.96,1,35,10,Loam,7.8,0.87,3.2,1.7,210,126,7.75,71.3,6.4,6.05,494,205,23.6,66,44,31,25,1,40,10,0,0,40
4.2.6,4,6,2,6,0.96,1,15,5,Loam,7.8,2.37,2.9,2.3,293,220,6.6,53.4,8,5.65,699,570,31.6,87,44,33,23,0,60,25,0,0,10
4.2.7,4,6,2,7,0.958333333,1,15,10,Sandy Clay Loam,7.8,1.17,3.1,1.2,219,140,6.9,59.7,6.1,5.4,502,392,24.2,76,50,27,23,0,75,5,0,0,10
4.2.8,4,6,2,8,0.92,1,25,10,Sandy Loam,7.9,0.88,1.5,1,195,139,4.4,40.4,7.5,2.69,378,312,15.6,76,66,17,17,0,50,15,0,5,20
4.2.9,4,6,2,9,0.936170213,1,28,20,Sandy Clay Loam,7.7,1.14,4,2.2,266,143,9.88,74.5,7.2,8.02,647,226,26.9,71,56,15,29,1,40,15,0,0,25
4.3.11,4,6,3,11,0.888888889,0,3,5,Sandy Clay Loam,8,0.24,2.5,0.6,219,35,7.3,50.5,8.2,6.13,313,56,18.7,71,57,20,23,11,55,10,10,5,15
